Gender,Age,PB1,PB2,PB3,PB4,PB5,PB6,PB7,PB8,PB9,PB10,PB11,PB12,PB13,PB14,PB15,PB16,PB17,PB18,STOPD11,STOPD21,STOPD31,STOPD41,STOPD51,Vitality1,Vitality2,Vitality3,Vitality,Health,NSNFAF,NSNFAS,NSNFSF,NSNFSS,NSNFCF,NSNFCS
Man,57,18,0,19,50,51,61,61,72,81,71,71,71,61,81,51,72,0,40,81,82,91,9,82,8,0,9,5.67,1,4,2,5,2,3,2
Man,48,59,19,66,14,25,78,29,65,27,68,63,12,81,20,57,76,6,10,45,9,8,31,4,76,68,70,71.33,3,2,3,2,3,1,4
Man,43,40,100,89,1,1,100,8,100,39,61,70,30,62,25,100,70,48,44,1,1,3,24,1,71,71,51,64.33,4,2,4,2,4,1,5
Man,20,96,85,100,41,7,100,70,100,100,78,46,73,61,42,52,70,74,66,1,25,80,7,1,66,48,27,47.00,2,2,4,2,3,1,3
Man,28,35,0,30,100,100,100,67,41,0,79,15,73,34,49,63,100,16,83,60,84,38,0,21,74,37,0,37.00,2,5,3,5,3,3,3
Man,53,40,9,61,40,0,50,40,62,61,49,5,70,20,39,40,70,5,41,61,61,40,39,71,30,50,38,39.33,4,2,2,2,4,4,3
Woman,52,47,5,83,100,100,48,25,43,12,84,33,7,72,44,67,80,13,73,26,27,45,53,30,79,78,86,81.00,3,1,4,3,5,2,3
Man,42,40,10,100,50,37,100,2,100,50,2,60,1,100,80,51,50,1,51,100,100,2,27,2,100,100,21,73.67,1,1,4,3,3,2,3
Woman,26,100,100,100,99,86,96,71,98,98,97,93,100,100,98,96,96,93,93,30,24,52,26,9,100,100,100,100.00,2,1,1,4,3,3,2
Woman,58,99,8,98,5,7,51,7,100,49,100,50,5,98,4,100,90,9,5,5,4,18,10,29,81,81,82,81.33,3,1,4,1,5,1,5
Man,67,73,82,81,83,81,83,51,83,82,70,77,51,81,80,70,82,40,41,13,34,22,40,24,81,63,72,72.00,2,3,3,3,4,3,1
Woman,45,100,50,82,10,0,100,50,94,0,92,100,9,82,50,0,100,60,50,51,0,50,30,92,92,19,60,57.00,4,1,5,4,2,3,4
Man,29,42,78,52,100,38,33,65,33,51,35,21,75,19,40,26,24,69,54,66,31,12,13,19,66,67,39,57.33,2,3,3,4,3,2,3
Woman,40,100,100,100,100,83,93,86,54,30,100,96,75,57,95,83,100,100,100,100,100,100,34,100,100,100,100,100.00,2,5,5,4,3,3,3
Man,21,100,5,28,0,4,100,9,100,100,100,100,36,100,17,100,100,9,33,8,14,15,16,11,89,56,84,76.33,4,2,4,1,3,1,5
Man,53,58,29,44,47,41,51,46,34,42,45,54,39,49,35,49,38,58,53,30,38,32,27,50,47,40,54,47.00,3,3,3,3,3,3,3
Man,26,73,41,51,71,35,60,75,50,52,34,73,63,80,49,92,71,55,51,62,67,76,40,58,81,57,62,66.67,3,3,4,3,3,4,3
